﻿Spotify URI,Track Name,Artist Name,Album Name,Game
spotify:track:2Y8V3jPU6QRpZHd8FKKeJY,People's Champ,Arkells,People's Champ,NHL
spotify:track:6DlEKalzWyOOqQMu92tr3V,MAKE IT TO MORNING,SUR,SAVAGE BEAST,NHL
spotify:track:4pqVNAghcrlYoFDGTMzQ67,Know My Name,The Blancos,Know My Name,NHL
spotify:track:3ZTVNcirP0VsMcMFIPOYEM,Favorite Color Is Blue,"Robert DeLong, K.Flay",Favorite Color Is Blue,NHL
spotify:track:1rqqCSm0Qe4I9rUvWncaom,High Hopes,Panic! At The Disco,Pray For The Wicked,NHL
spotify:track:7clyJIrLkEbXUDwj1tC9zz,Blood // Water,grandson,a modern tragedy vol. 1,NHL
spotify:track:5MCm0yJvZSxod3wPF034jG,Almost Had to Start a Fight/In and Out of Patience,Parquet Courts,Almost Had to Start a Fight/In and Out of Patience,NHL
spotify:track:0TjHQ0WesQmv9KJQrBd6kB,I'll Give You Everything,Phil Panton,Chasing A Youth,NHL
spotify:track:5P1neQtZt1ncaREEXcCdBD,Pulling Leaves off Trees,Wallows,Pulling Leaves off Trees,NHL
spotify:track:4CG2XyRrTdgeVlptAZEw4J,Good As Gold,Moon Taxi,Good As Gold,NHL
spotify:track:1nEEXq32QujXMphLIcWVWL,Goodlife,The Cool Quest,VIVID,NHL
spotify:track:6cQnrSlTxhHCCiUpKrs7g3,Jumpsuit,Twenty One Pilots,Jumpsuit / Nico And The Niners,NHL
spotify:track:210FIe1foJw0To7gfq1OpI,Psycho Star,King Tuff,Psycho Star,NHL
spotify:track:4zIO3ilp5HvTeK3HJHxhMP,Natural,Imagine Dragons,Natural,NHL
spotify:track:3Rw9J03nW964TruD23gfaS,When The Curtain Falls,Greta Van Fleet,When The Curtain Falls,NHL
spotify:track:6xKeAXx57GdiD1Upwemy03,Head Up,"Don Diablo, James Newman",FUTURE (Deluxe Edition),NHL
spotify:track:2ph6BRhGcUzc2W9wIulG5k,White Flag,Bishop Briggs,Church Of Scars,NHL
